draw.fail,더 이상 카드를 뽑을 수 없습니다!
cards_left,덱 리필까지 남은 카드: 
before_fatigue, 탈진 피해까지: 
reshuffle, 덱 리필
fatigue_damage, 덱 리필 시 받는 탈진 피해: 
fatigue_damage_take, 탈진 피해: 
no_draw.hero_damage,이번 턴에 카드를 뽑지 않아 피해를 받습니다
villager.redstone,RedstoneBattery
villager.redstone.0,나때는 돼지를 상대 스티브 앞에 소환하고 공격력을 버프하는 카드들을 써서 바로 데미지를 줬었지. 결국 밸붕때문에 버프형 카드들이 너프를 받았어. 이제 어떤 전략을 써야될까...
villager.coffee.0,맵이 마음에 든다면 커피 한 잔 사주실래요?
soundCategory.music,Turn Off
soundCategory.record,Music
fatigue.warn,다음 덱 리필에 탈진 피해를 받습니다!
fatigue.fatigue,탈진 피해를 받았습니다. 다음에는 더 큰 피해를 받습니다!
daily_reward,다음 5차례의 우승에서 2배의 돈을 얻습니다! (24시간 뒤에 사라지는 효과입니다)
reset,"Are you sure you want to reset your save?  
Type /trigger reset set 10"
effects,튜토리얼 - 효과
effects.des,여러가지 상태를 이해하기 위한 튜토리얼
effects.buffs,버프
effects.buffs.des,몹을 강화하거나 보호합니다
effects.debuffs,디버프
effects.debuffs.des,몹을 약화시키거나 피해를 줍니다
effects.fire,불
effects.fire.des,매 턴 종료 시 1 데미지를 줍니다
effects.poison,독
effects.poison.des,매 턴 종료 시 갑옷을 무시하는 1 데미지를 줍니다. 몹을 죽일 수 없습니다 
effects.wither,위더
effects.wither.des,매 턴 종료 시 갑옷을 무시하는 1 데미지를 줍니다. 몹을 죽일 수 있습니다 
effects.invis,투명
effects.invis.des,"다른 몹들에게 공격받을 수 없지만, 함정이나 스펠 등에는 데미지를 받습니다"
effects.speed,신속
effects.speed.des,속도 +2
effects.slowness,구속
effects.slowness.des,속도 -2
effects.strength,힘
effects.strength.des,공격력 +3
effects.weakness,나약함
effects.weakness.des,공격력 -4
effects.fire_resistance,화염 저항
effects.fire_resistance.des,화염에 면역입니다
effects.blindness,실명
effects.blindness.des,사거리를 2칸 줄입니다. 사거리가 0 이면 공격을 할 수 없습니다
traits,튜토리얼 - 특성
traits.des,카드 상단에 표시되는 특성들입니다
traits.ambush,돌진
traits.ambush.des,소환 직후 행동이 가능합니다
traits.emerald,에메랄드
traits.emerald.des,해당 몹에 에메랄드를 사용가능합니다
traits.fire,화염 면역
traits.fire.des,화염에 면역입니다
traits.flying,비행
traits.flying.des,함정에 걸리지 않습니다
traits.gold,황금
traits.gold.des,피글린 물물교환이 가능합니다
traits.teleport,엔더
traits.teleport.des,피해를 받으면 순간이동합니다
traits.undead,언데드
traits.undead.des,"회복 포션을 사용하면 데미지를 입고, 고통 포션을 사용하면 회복합니다. 살충에 약합니다"
traits.water,물
traits.water.des,수중 버프를 통해 버프가 가능합니다
traits.wither,위더
traits.wither.des,위더 데미지에 면역입니다
selected,선택됨
arena.moss,Moss Stadium
arena.nether,Nether
arena.end,The End
arena.deep,Deepest Dark
arena.cave,Mineshaft
arena.sky,In the Clouds
arena.sea,Seventh Sea
arena.amethyst,Inside the Geode
arena.redstone,Redstone Factory
arena.village,Village
arena.jungle,Temple
arena.mansion,Mansion
arena.ocean,Monument
arena.mangrove,Mangrove
arena.zen,Zen
arena.usea,Warehouse
arena.bee,Hive Happenings
arena.fort,Fort
arena.unlock,신규 구역 해제됨: 
music.moss,Lush Caves
music.nether,Nether
music.end,The End
music.deep,Deep Dark
music.cave,Game
music.sky,Creative
music.sea,Ocean
music.amethyst,Amethyst
music.redstone,Music Discs
music.relic,Songs of Tales
music.unlock,신규 배경음악 해제됨: 
hero.steve,Steve
hero.alex,Alex
hero.jerry,Handsome Jerry
hero.barb,Bubblegum Barb
hero.memer,Heated Memer
hero.creeper,Dancer
hero.killer,Slayer
hero.trickster,Trickster
hero.deckmaster,The Deckmaster
hero.unlock,신규 스킨 해제됨: 
duel.invite.settings.handsize,손패에 가질 수 있는 최대 카드 수 : 
duel.invite.settings.fatigue,탈진 : 
quests.deckmaster,Deckmaster
quests.deckmaster.des,deckmaster 스킨으로 누군가를 이겨볼래?
deck.version.old,업데이트로 인해 당신의 덱이 기본 덱으로 변경됐습니다. 덱을 다시 구성하시면 됩니다
cost,¢
health,♥
armor,🛡
attack,🗡
speed,🥾
range,🏹
explode,🧨
fire,🔥
poison,☣
wither,💀
card.discard,카드를 버립니다
card.phantom.dodge,팬텀이 공격을 피했다!
deck_builder.fail_exit,카드팩에서 나온 카드들을 먼저 저장하세요!
game.win, 이겼습니다!
lobby.queue,게임 대기열에 진입합니다. 둘 이상이 준비됐을 시 게임을 시작합니다
lobby.queue.leave,게임 대기열에서 나갔습니다
cheater,A player has become a cheater!
shop.success,구매 완료!
shop.fail,돈이 부족합니다!
quick_play,게임 대기열 진입
quick_deck_builder,덱 구성하기
quick_spectate,주변 유저 관전
cards,Relics from the Deck
cards.des,덱빌딩 전략 게임
collection,카드 보관함
collection.left,이전 페이지
collection.right,다음 페이지
collection.search,패턴 검색
collection.search.rarity,희귀도
collection.search.cost,비용
collection.search.name,알파벳순
collection.search.type,타입
decks,덱 관리
decks.grab,Grab Deck
decks.view,덱 보기
decks.overwrite,덮어쓰기
decks.overwrite.click,인벤토리의 카드들로 현재 덱을 저장합니다
decks.selected,선택된 덱
decks.change,지금 보이는 덱으로 바꾸기
saving.save.1,저장/로딩 중
saving.save.2,"진행 과정을 저장하려면, 셜커 상자의 이름을 바꿔서 크리에이티브 모드의 핫바에 두세요"
saving.save.3,이 기능을 쓰려면 단축키를 바꿔야합니다
saving.save.4,덱을 불러오려면 핫바에서 셜커 상자를 가져오세요
saving.save.5,"그 후에, 셜커 상자를 왼손으로 드세요"
save.load,로드됨!
decks.white,White Deck
decks.red,Red Deck
decks.orange,Orange Deck
decks.yellow,Yellow Deck
decks.green,Green Deck
decks.cyan,Cyan Deck
decks.blue,Blue Deck
decks.purple,Purple Deck
decks.black,Black Deck
card.poor,경험치가 부족합니다!
move.too_far,해당 위치로 이동이 불가능합니다!
place.fail,해당 위치에 그 카드를 사용할 수 없습니다!
nothing.fail,해당 위치엔 선택가능한 몹이 없습니다!
deck.save,덱을 성공적으로 저장했습니다
card.store,카드 저장됨!
card.sort,카드 분류됨!
travel.fail,몹이 이동에 실패했습니다
too_slow,시간 초과로 내 턴이 종료됩니다
credits.map,🧭
credits.brickmasons,by The Brickmasons
credits.team,Map Team
credits.testers,Testers
credits.sounds,Sound from Zapsplat.com
parkour,"이봐, 크리퍼를 통해 '폭발 카드 팩'을 얻을수 있다고. 크리퍼를 잘 써먹어봐"
item.minecraft.carrot_on_a_stick,선택
forfeit,Forfeit Game
duel,듀얼이다!
duel.search,듀얼을 위해 클릭하세요
duel.invite.1,초대한 유저: 
duel.invite.2, 
duel.invite.3, - 듀얼이다!
duel.invite.settings,경기 세팅:
duel.invite.settings.mode,모드: 
duel.invite.settings.preset,속도: 
duel.awaiting,상대를 기다리는 중입니다. 황금 마우스를 던져 취소하세요
duel.pending,황금마우스 우클릭 = 수락 / 던지기 = 취소
duel.deny,상대가 듀얼을 거절했습니다
duel.end,시간 초과로 듀얼이 취소됐습니다
duel.reset,당신의 듀얼이 중단됩니다
villager.stephen,Stephen
villager.stephen.0,아래 튜토리얼을 클릭하세요!
villager.legobro,LegoBro
villager.legobro.0,10x10 보드는 별로같은데...
villager.gem,ThatGreenGem
villager.gem.0,위키 사이트 보고갈래?
villager.think,thinkrocks12
villager.think.0,디스코드에 가입하면 내로라하는 유저들이 싸우는 토너먼트에 참석가능합니다!
villager.j,J_Brimstone
villager.j.0,I can't remember the cheat code... has to do with a block that pulls...
coins,돈
game.book,경기 세팅
game.draft,카드를 선택하세요
game.begin,게임 시작!
game.turn.begin,당신의 차례입니다
game.turn.end,당신의 차례가 끝났습니다
dubloon.earn.1,돈을 벌었습니다 +
dubloon.earn.2,$
dubloon.total.1,총액 
dubloon.total.2,$
cheat_book,Type your cheat in this book
cheat_unlock,New cheatcode: 
quests,퀘스트
quests.des,카드팩을 구매하세요
quests.tutorial,튜토리얼
quests.tutorial.des,튜토리얼을 끝내세요
quests.stickypiston,Stickypiston
quests.stickypiston.des,mgm.spmc.co
quests.parkour,파쿠르
quests.parkour.des,파쿠르를 완주하세요
quests.loser,패배자
quests.loser.des,아프지만은 않네...
quests.creeper,Creeper
quests.creeper.des,Awww man...
quests.rich,XPCoin...
quests.rich.des,...to the MOON!
quests.ambush,돌진
quests.ambush.des,경험치가 20이 되기 전에 승리하세요
quests.defend,철벽
quests.defend.des,내 영웅 캐릭터의 HP가 15 이상인 상태로 승리하세요
quests.killer,킬러
quests.killer.des,몹 500마리를 죽이세요
quests.sacrifice,희생
quests.sacrifice.des,몹 500마리를 폭발로 죽이세요
quests.end,엔더
quests.end.des,엔더 몹을 50마리 소환하세요
quests.nether,네더
quests.nether.des,네더 몹을 100마리 소환하세요
quests.overworld,오버월드
quests.overworld.des,오버월드 몹을 250마리 소환하세요
quests.potion,포션
quests.potion.des,포션을 50번 사용하세요
quests.armor,갑옷
quests.armor.des,갑옷을 50번 사용하세요
quests.trap,함정
quests.trap.des,함정을 50번 설치하세요
quests.water,아쿠아틱
quests.water.des,수중 카드를 50번 사용하세요
quests.conversion,변형
quests.conversion.des,버프 & 디버프를 50번 사용하세요
quests.practice,연습
quests.practice.des,연습 게임에서 승리하세요
quests.unknown,알려지지 않음
quests.unknown.des,밝히지 못한 카드로 손을 채우세요
quests.mansion,맨션
quests.mansion.des,"우민, 변명자, 소환사, 파괴수를 공존시키세요"
quests.ocean,바다의 힘
quests.ocean.des,수중 몹의 HP를 15로 만드세요
quests.frog,개굴개굴
quests.frog.des,개구리 15마리를 공존시키세요
quests.zen,벚꽃 명소
quests.zen.des,벚꽃나무 2그루를 공존시키세요
quests.piston,밀지마
quests.piston.des,피스톤 or 끈끈이 피스톤을 한 턴에 3번 이상 사용하세요
quests.bee,This Might Bee a Problem...
quests.bee.des,벌의 공격력을 20으로 만드세요
quests.tnt,폭발적인 방어수단
quests.tnt.des,한 판에서 TNT 로 10개의 몹 또는 구조물을 처치하세요
quests.sherd,새로운 여정
quests.sherd.des,5 이상의 피해를 받은 몹을 도자기 조각으로 포획하세요
adv.0,구조물 팩
adv.0.des,당신만의 기지를 만드세요
adv.1,네더 요새 팩
adv.1.des,요새의 진가를 알려주겠다
adv.2,네더와트 팩
adv.2.des,살기 위한 노력이 담긴 팩
adv.3,바스티온 요새 팩
adv.3.des,돼지들의 요새
adv.4,대장장이 팩
adv.4.des,갑옷 구매하세요
adv.5,광부 팩
adv.5.des,지하 투쟁
adv.6,언데드 팩
adv.6.des,*Grumbling intensifies*
adv.7,늪지 팩
adv.7.des,당신 주변에 둥지를 틀지 않기를...
adv.8,폭발적인 팩
adv.8.des,BOOM
adv.9,종말 팩
adv.9.des,아직 안끝났어...
adv.10,주민 자경단 팩
adv.10.des,우민을 타도하라!
adv.11,양조장 팩
adv.11.des,부글부글
adv.12,침략자 팩
adv.12.des,잃어버린 침략의 역사
adv.13,Update Aquatic 팩
adv.13.des,1.13 업데이트
adv.14,탐험 팩
adv.14.des,자유로운 여행
adv.15,농장 팩
adv.15.des,동물농장
adv.16,수성 팩
adv.16.des,못들어온다!
adv.17,야생동물 팩
adv.17.des,먹이 금지
adv.18,빙하기 팩
adv.18.des,Chill guy
adv.19,마지막 기회 팩
adv.19.des,하나 남은 기회
adv.20,변형 팩
adv.20.des,뭔가 바뀔지도?
adv.21,Junk Chest
adv.21.des,Pack leftovers
tutorial,[Tutorial] 
tutorial.fail,당신의 영웅 캐릭터가 사망하여 튜토리얼에서 패배했습니다. 당신은 천재일지도?
tutorial.1,Relics from the Deck 에 오신걸 환영합니다!
tutorial.2,이 게임의 목적은 상대의 영웅 캐릭터를 처치하는겁니다
tutorial.3,"동시에, 당신의 영웅 캐릭터도 지켜야하지요"
tutorial.4,당신은 카드를 사용할 수 있습니다
tutorial.5,골든 마우스 포인트로 당신의 덱을 우클릭하세요. 경험치 2가 소모됩니다
tutorial.6,좀비 카드가 떴습니다!
tutorial.7,카드에는 6가지 스탯과 설명이 있습니다
tutorial.8,첫 번째 스탯은 경험치입니다
tutorial.9,경험치는 카드의 비용이죠
tutorial.10,두 번째 스탯은 체력입니다
tutorial.11,세 번째 스탯은 공격력이고요
tutorial.12,네 번 째 스탯은 소환 직후 획득하는 갑옷 수치입니다
tutorial.13,"갑옷은 체력과 비슷하지만, 갑옷이 다 부서줘야 체력이 깎입니다"
tutorial.14,다섯 번째는 속도입니다
tutorial.15,빠를 수록 한 번에 먼 거리를 이동가능합니다
tutorial.16,"마지막으로, 사거리입니다"
tutorial.17,"사거리가 2일 경우, 2칸 앞의 적을 공격가능합니다"
tutorial.18,설명도 꼭 읽어야겠죠? 카드의 특수능력이 적혀있습니다
tutorial.19,좀비 카드를 사용할 경험치가 부족하므로 골든 마우스를 q를 눌러 던져서 턴을 종료하세요
tutorial.20,"이제 상대 턴이 시작돼야하지만, 특별히 스킵하겠습니다"
tutorial.21,이제 카드를 쓸 경험치가 충분합니다
tutorial.22,보드에서 좀비를 소환할 칸에 클릭하세요
tutorial.23,"칸에 녹색이 뜨면 소환 가능하고, 적색이 뜨면 소환 불가능합니다"
tutorial.24,Excellent!  보드 위의 몹을 보면 스탯을 확인가능합니다
tutorial.25,"골든 마우스를 들고 좀비를 보면, 해당 칸이 적색인 것이 보일겁니다"
tutorial.26,이는 해당 칸의 몹이 이번 턴에 행동할 수 없음을 뜻합니다
tutorial.27,대부분의 몹은 소환 직후 행동이 불가능합니다
tutorial.28,"당신의 좀비가 행동하려면, 턴을 끝내세요"
tutorial.29,상대의 턴을 스킵했습니다. 좀비를 움직이세요
tutorial.30,좀비를 우클릭하고 파란 칸 아무데나 움직여보세요
tutorial.31,Great!  이런 식으로 몹이 이동가능해요!
tutorial.32,몹들은 이동 뿐 아니라 공격도 가능합니다!
tutorial.33,턴을 끝내주세요
tutorial.34,제가 닭을 소환했어요
tutorial.35,닭을 공격해보세요. 좀비가 이동하던것처럼
tutorial.36,"Nice job!  이제 조약돌을 치우고, 여러 가지 타입의 카드들을 보여드릴게요"
tutorial.37,카드를 뽑아보세요
tutorial.38,"Great, 신속 포션을 뽑으셨군요!"
tutorial.39,신속 포션은 몹이 아닌 소비형 카드입니다
tutorial.40,"소비형 카드들은 유닛을 강화하거나, 구조물을 설치하거나, 스펠을 쓸 수 있습니다!"
tutorial.41,어떤 소비형 카드를 언제 사용할 지가 중요하겠죠?
tutorial.42,신속 포션을 좀비한테 사용하세요
tutorial.43,신속 포션을 먹은 좀비는 1칸이 아니라 2칸을 이동가능합니다
tutorial.44,이게 게임의 핵심이지만 몇 가지 중요한 것들만 먼저 얘기할게요
tutorial.45,"먼저, 실전에선 당신의 덱이 꽤 한정돼있습니다"
tutorial.46,"당신의 덱에는 27장의 카드가 있고, 카드를 다 뽑을 시 이전 덱의 카드들이 섞여서 27장의 카드가 다시 리필됩니다"
tutorial.47,당신의 손패에는 최대 8장의 카드가 있죠
tutorial.48,내 턴이 시작될 때마다 이전 턴보다 경험치 획득량이 증가합니다
tutorial.49,"경험치 획득량은 턴마다 1씩 증가하며, 최대 20까지 증가합니다"
tutorial.50,이렇게 기초적인 설명은 끝났습니다! 이제 수백 장의 카드를 사용하여 다른 유저를 이기세요!
tutorial.51,"튜토리얼을 끝내기 전에, 상대의 영웅 캐릭터를 처치해보세요"
tutorial.52,튜토리얼 상대는 턴을 계속 넘길겁니다
tutorial.53,또한 반격도 불가능하죠
tutorial.54,Good luck!
tutorial.55,Great work!  게임 방법을 익히신 것 같네요. 로비로 보내드릴게요
card.anvil,모루
card.anvil.lore.0, 선택한 개체에
card.anvil.lore.1,피해를 4 줍니다
card.arrow_storm,화살 폭풍
card.arrow_storm.lore.0, 선택한 표적과
card.arrow_storm.lore.1,주변 한 칸의 개체들에게
card.arrow_storm.lore.2,피해를 1 줍니다
card.blaze_strike,블레이즈 화염구
card.blaze_strike.lore.0, 선택한 표적과
card.blaze_strike.lore.1,좌우 한 칸의 개체들에게
card.blaze_strike.lore.2,3턴 동안 화염 피해 3을 줍니다
card.blaze_strike.lore.3,(턴 종료 시 피해 입음)
card.chorus_fruit,후렴과
card.chorus_fruit.lore.0, 선택한 몹을
card.chorus_fruit.lore.1,보드의 무작위 위치로
card.chorus_fruit.lore.2,이동시킵니다
card.dragons_breath,드래곤의 숨결
card.dragons_breath.lore.0, 선택한 표적과
card.dragons_breath.lore.1,인접한 유닛에게
card.dragons_breath.lore.2,독 피해 2와 위더피해 2를
card.dragons_breath.lore.3,주는 드래곤의 숨결을
card.dragons_breath.lore.4,발사합니다
card.ender_pearl,엔더 진주
card.ender_pearl.lore.0, 사용 직후 당신이 소환한
card.ender_pearl.lore.1,몹은 어떤 칸으로든
card.ender_pearl.lore.2,이동가능합니다
card.flint_and_steel,부싯돌과 부시
card.flint_and_steel.lore.0, 적에게 화염 피해를 5만큼 주거나
card.flint_and_steel.lore.1,크리퍼를 즉시 터뜨립니다
card.flint_and_steel.lore.2,Boom!
card.ghast_fireball,가스트 화염구
card.ghast_fireball.lore.0, 선택한 표적에게
card.ghast_fireball.lore.1,피해를 3 주고
card.ghast_fireball.lore.2,인접한 표적들에 피해를 2 주는
card.ghast_fireball.lore.3,화염구를 발사합니다
card.ice_storm,얼음 폭풍
card.ice_storm.lore.0, '얼어붙어라'
card.ice_storm.lore.1,모든 개체가 피해를 1 받고
card.ice_storm.lore.2,속도가 1 감소합니다
card.iron_pickaxe,철 곡괭이
card.iron_pickaxe.lore.0, 구조물에 5의
card.iron_pickaxe.lore.1,피해를 줍니다
card.piston,피스톤
card.piston.lore.0, 개체 또는 구조물을
card.piston.lore.1,상대한테 이동시킵니다
card.splash_damage_potion,투척용 고통 포션
card.splash_damage_potion.lore.0," 선택된 표적에 피해를 3 주고,"
card.splash_damage_potion.lore.1,인접한 표적들에 피해를 2 줍니다.
card.splash_damage_potion.lore.2,언데드가 선택된 표적이면 체력을
card.splash_damage_potion.lore.3,2 회복하고 인접한 표적이면
card.splash_damage_potion.lore.4,체력을 1 회복합니다
card.splash_healing_potion,투척용 즉시 회복 포션
card.splash_healing_potion.lore.0, 선택된 표적을 2만큼 회복하고
card.splash_healing_potion.lore.1,인접한 표적은 1 회복합니다
card.splash_healing_potion.lore.2,언데드가 선택된 표적이면 피해를
card.splash_healing_potion.lore.3,3 받고 인접한 표적이면
card.splash_healing_potion.lore.4,피해를 2 받습니다
card.splash_healing_potion.lore.5, 
card.splash_poison_potion,투척용 독 포션
card.splash_poison_potion.lore.0, 선택된 몹과 인접한 몹에
card.splash_poison_potion.lore.1,독 피해를 6 주는
card.splash_poison_potion.lore.2,독 포션을 던집니다
card.splash_poison_potion.lore.3, 
card.sticky_piston,끈끈이 피스톤
card.sticky_piston.lore.0, 내 영웅 캐릭터 방향으로
card.sticky_piston.lore.1,개체를 이동시킵니다
card.thunderstorm,폭풍우
card.thunderstorm.lore.0, 무작위 3개의 개체에
card.thunderstorm.lore.1,피해를 7 주고 3가지 대상의
card.thunderstorm.lore.2,인접한 개체들에게는 피해를
card.thunderstorm.lore.3,3 줍니다 ※국밥 카드 3
card.tnt_cannon,Tnt 대포
card.tnt_cannon.lore.0, 보드의 중간쯤에
card.tnt_cannon.lore.1,대포로 TNT를 발사합니다
card.tnt_cannon.lore.2, 
card.torchflower,횃불꽃
card.torchflower.lore.0, 적 영웅 캐릭터에게
card.torchflower.lore.1,화염 피해 1을 줍니다
card.trident,삼지창
card.trident.lore.0, 마법 부여된 삼지창을 던집니다.
card.trident.lore.1,선택된 표적에 번개를 내리쳐
card.trident.lore.2,피해를 7 주고 인접한 개체에
card.trident.lore.3,3의 피해를 줍니다
card.aqua_affinity,친수성
card.aqua_affinity.lore.0, 선택된 개체에
card.aqua_affinity.lore.1,물 속성을 부여합니다
card.armor_trim,갑옷 장식
card.armor_trim.lore.0, 내 영웅 캐릭터에게 갑옷을 1 부여합니다
card.bread,빵
card.bread.lore.0, 맛있게 섭취 시
card.bread.lore.1,경험치를 2 획득합니다
card.curse_of_binding,귀속 저주
card.curse_of_binding.lore.0, 상대편이
card.curse_of_binding.lore.1,다음 3턴 동안 카드를
